Stop ID,Link ID,X,Y
6513215910,10638699#1,729061.0,5697345.71
1211266194,-272099993#0,735656.44,5696272.6
412509660,1045530496,734690.6100000001,5693172.59
96625596,226907903#6,731778.62,5690184.569999999
96625599,-23189462#0,731740.21,5690253.18
cluster_132189490_90209715,22737825#0,734448.51,5695077.949999999
269756064,10043220#1,734275.0,5696221.29
269756063,144538344#1,733856.5800000001,5696270.09
1161933348,-24846333,734051.39,5695301.0
9251513714,1032946999,734952.19,5696041.89
97612031,-555848123#0,734549.8600000001,5695707.08
97612030,370930998,734535.78,5695590.29
97612032,39058516#1,734312.93,5695798.819999999
2389967172,112355885,738433.81,5687953.59
60021948,8089406#0,733013.76,5690391.949999999
7808279666,30092669,737059.56,5697114.68
60021949,33584955#1,733055.8400000001,5690396.56
7808279665,611070424#2,736929.71,5697128.41
60021942,507858518#2,732924.4,5690136.04
60021943,-155595438,732931.64,5690059.319999999
60021941,8089404#1,732827.01,5690226.58
199752873,-846011200,736210.9,5688799.7299999995
250536726,23171518#0,736813.68,5688801.6
60021945,8089412#0,733014.26,5690074.41
250536725,19241134#2,737074.49,5688865.34
194430810,13862619,735605.3,5700419.27
199752871,19241299#0,736480.8300000001,5688791.4399999995
60671850,114840796#1,727384.71,5690244.66
194421097,18821095,736278.67,5687426.74
6854473993,731999616,737268.5,5692929.71
282014415,25852232#3,727452.87,5698404.13
1533283403,-318954493#0,737574.81,5700379.55
5931159730,25772216#1,738255.24,5692421.4399999995
60021938,8089403,732812.24,5690345.609999999
5051871738,-387718409,735613.04,5692439.649999999
26117671,780652205#8,737739.51,5693818.99
60671837,30732815,727283.24,5690626.64
26117670,4311219,734529.43,5693626.34
2566071669,23449992#1,735658.5900000001,5695449.39
243825568,19075766#2,734565.7,5691759.58
60021935,313885921,732848.97,5690556.27
304248191,606973437,738381.29,5692361.79
60021936,-507858517#0,732897.6000000001,5690443.39
243825569,4859716#0,734454.15,5691725.16
cluster_3041886152_30710191,-135931718,735007.43,5694698.79
26117667,241544304,734633.52,5693787.8
1097233439,19782933,743475.77,5694987.26
26117666,24408340,734915.38,5693693.85
147971896,14982644,740180.55,5693908.08
6854473988,-731999604,736767.87,5693039.64
217611856,-20408760,739088.89,5693156.16
60671828,114840796#0,727418.65,5690141.68
26117662,-4311214#1,735024.89,5693527.359999999
26117661,-134462344,737186.68,5693839.59
26117657,120596061#6,736368.47,5693789.91
cluster_144453607_1478363104_255601894,-134473442,737533.69,5691928.76
26117658,-313176453,736488.74,5693875.47
27543025,131683894#0,729977.1000000001,5693098.9799999995
1883035870,177903607#0,741285.3400000001,5696550.14
122044022,-10639473#0,734044.45,5694755.899999999
313053995,-261838000,734240.72,5697978.58
122044024,-13229362,734242.8500000001,5694657.5
313053997,24912998#3,734083.77,5698166.1
341825264,24822974#1,729953.24,5689675.359999999
4587444798,-36873593#0,726741.5900000001,5693277.3
cluster_12356132_1658902552,153212296#3,729067.5800000001,5694971.85
cluster_26652341_301138710_301138716,-129164275#0,738368.04,5690373.92
259402541,120596061#4,736469.6100000001,5693786.12
27543040,131683897,729944.14,5693108.3
130103128,13862596,737736.5900000001,5699700.91
147968265,14981240,739592.2,5694037.1899999995
391956786,-35328571,730974.41,5684786.67
1883035867,177903602,741467.69,5696484.99
29352011,4621852#2,730467.5900000001,5694454.0
29352010,4621853#1,730504.5800000001,5694346.96
2070030459,-196708047#1,733023.7,5696872.41
1883852451,63812270,734432.88,5693413.4799999995
29352017,-30491671#0,730815.68,5694489.819999999
192297632,-18639852#0,741027.42,5694966.41
5387486390,467390559#0,728315.63,5691225.63
19814205,173219511,738712.29,5690994.7299999995
cluster_261031861_2618891747,32850244#0,726970.4,5686121.66
3371534029,28284462#2,741009.76,5694972.21
2070030464,-396739537#0,733218.31,5696876.93
25965798,-272458349#0,731356.54,5693389.59
97657679,10956367,732525.74,5696022.609999999
25965797,-4297555#0,731537.9,5693237.25
268059235,24661927#0,739891.74,5691842.31
391276528,34126634#1,729524.8,5684820.17
1883852448,-177097364,732267.55,5691439.069999999
1622262797,149213946,739809.22,5697478.02
25965792,272458426#1,731824.62,5693236.21
29352022,4621858#0,730961.0800000001,5694562.899999999
cluster_1166292717_1507731666_259866049,-100961986,731433.3400000001,5689054.33
25965791,-22661663,731655.56,5693378.6
25965796,29355918#1,732276.78,5693034.96
391276531,34126636#0,729627.41,5684832.069999999
25965795,259718588,732176.39,5692991.35
2070030468,637436161,733531.6100000001,5696854.12
25965794,-165893173,731970.44,5692901.2299999995
25965793,230165780#1,732057.25,5692938.35
5387486388,334452695#6,728302.23,5691221.31
cluster_2694681666_9027075676_9027075677,-128302064#0,738341.46,5690889.3
267420493,24600375#4,736328.48,5696093.399999999
267420492,10437244#7,735896.51,5696073.76
267420491,24600374#4,736284.5700000001,5696155.359999999
29352028,4621860#1,731081.5900000001,5694469.06
267420490,-26766543,736266.28,5696219.09
29352026,4621858#2,731092.64,5694582.9399999995
144456209,-26115241#0,736341.29,5692489.41
29352024,4621858#1,731048.87,5694586.699999999
251562809,23249010#1,728509.7,5689278.819999999
267420498,26429136#1,736368.0,5695852.58
97657683,-10956370#0,732537.23,5696115.87
cluster_26819449_3194700488,313480164#1,736343.53,5692064.06
1225431247,106518522,729551.98,5689096.899999999
1225431246,-106518528,729589.41,5689196.55
267420495,24600378,736305.4,5695863.9799999995
25965789,4621848#0,731474.89,5693528.8
97657689,-10956373,732542.88,5695957.699999999
30216449,120359834,735089.89,5694912.66
30216448,120359834,735089.89,5694912.66
2070030473,637436179,733806.3,5696919.64
2617755316,241544308#1,727889.53,5693313.859999999
25396921,18818123#2,736993.2,5686795.26
25396922,18818123#3,737098.03,5686815.59
110638236,12214696#1,735327.64,5691959.27
25965783,60101103#1,732961.27,5692857.09
267420481,-29230660,736426.8600000001,5694842.55
199751688,112660919,737030.6100000001,5689554.319999999
442891497,-314933342,728846.2,5682479.92
267420489,-30299832#0,736191.8,5696281.27
267420488,26766543,736243.46,5696334.47
199751682,-22760615,737031.74,5689308.88
2332110870,94781557#2,732144.01,5692472.41
199751680,24676891#4,737072.4,5688964.89
